candidate_record_id,phase,phase_t1,candidate_observed_state,candidate_observed_state_is_de,candidate_record_count,candidate_de_count,candidate_non_de_count,candidate_unique_non_de_states,days_since_latest_candidate_evidence,candidate_latest_state,candidate_missing_state_count,candidate_mean_identity_consistency,candidate_low_identity_consistency_count,candidate_recency_weighted_de,candidate_recency_weighted_non_de,candidate_recency_weighted_state_margin,candidate_records_30d,candidate_de_records_30d,candidate_non_de_records_30d,candidate_records_90d,candidate_de_records_90d,candidate_non_de_records_90d,candidate_records_180d,candidate_de_records_180d,candidate_non_de_records_180d,candidate_records_365d,candidate_de_records_365d,candidate_non_de_records_365d,address_record_count,address_de_count,address_non_de_count,address_unique_non_de_states,days_since_latest_address_evidence,address_latest_state,address_missing_state_count,address_mean_identity_consistency,address_low_identity_consistency_count,address_recency_weighted_de,address_recency_weighted_non_de,address_recency_weighted_state_margin,address_records_30d,address_de_records_30d,address_non_de_records_30d,address_records_90d,address_de_records_90d,address_non_de_records_90d,address_records_180d,address_de_records_180d,address_non_de_records_180d,address_records_365d,address_de_records_365d,address_non_de_records_365d,license_record_count,license_de_count,license_non_de_count,license_unique_non_de_states,days_since_latest_license_evidence,license_latest_state,license_missing_state_count,license_mean_identity_consistency,license_low_identity_consistency_count,license_recency_weighted_de,license_recency_weighted_non_de,license_recency_weighted_state_margin,license_records_30d,license_de_records_30d,license_non_de_records_30d,license_records_90d,license_de_records_90d,license_non_de_records_90d,license_records_180d,license_de_records_180d,license_non_de_records_180d,license_records_365d,license_de_records_365d,license_non_de_records_365d,title_record_count,title_de_count,title_non_de_count,title_unique_non_de_states,days_since_latest_title_evidence,title_latest_state,title_missing_state_count,title_mean_identity_consistency,title_low_identity_consistency_count,title_recency_weighted_de,title_recency_weighted_non_de,title_recency_weighted_state_margin,title_records_30d,title_de_records_30d,title_non_de_records_30d,title_records_90d,title_de_records_90d,title_non_de_records_90d,title_records_180d,title_de_records_180d,title_non_de_records_180d,title_records_365d,title_de_records_365d,title_non_de_records_365d,work_record_count,work_de_count,work_non_de_count,work_unique_non_de_states,days_since_latest_work_evidence,work_latest_state,work_missing_state_count,work_mean_identity_consistency,work_low_identity_consistency_count,work_recency_weighted_de,work_recency_weighted_non_de,work_recency_weighted_state_margin,work_records_30d,work_de_records_30d,work_non_de_records_30d,work_records_90d,work_de_records_90d,work_non_de_records_90d,work_records_180d,work_de_records_180d,work_non_de_records_180d,work_records_365d,work_de_records_365d,work_non_de_records_365d,external_record_count,external_de_count,external_non_de_count,external_unique_non_de_states,days_since_latest_external_evidence,external_latest_state,external_missing_state_count,external_mean_identity_consistency,external_low_identity_consistency_count,external_recency_weighted_de,external_recency_weighted_non_de,external_recency_weighted_state_margin,external_records_30d,external_de_records_30d,external_non_de_records_30d,external_records_90d,external_de_records_90d,external_non_de_records_90d,external_records_180d,external_de_records_180d,external_non_de_records_180d,external_records_365d,external_de_records_365d,external_non_de_records_365d,dominant_evidence_state,de_signal_count,non_de_signal_count,unique_non_de_states,total_state_signal_count,event_state_agreement_score,independent_evidence_source_types,sources_supporting_de,sources_supporting_non_de,max_sources_same_non_de_state,multiple_sources_same_non_de_state,cross_source_agreement_score,conflicting_evidence_score,de_non_de_conflict,evidence_completeness_score,missing_evidence_categories,total_missing_state_records,mean_identity_consistency,low_identity_consistency_count,days_since_most_recent_evidence,evidence_recency_score,credential_active_count,credential_expired_count,credential_superseded_count,credential_unknown_count,active_non_de_credential,active_credential_latest_state,active_credential_latest_non_de,non_de_title_event_indicator,distinct_vehicle_count,address_state_transitions,repeated_non_de_address_evidence,external_standard_quality_count,external_standard_non_de_count,external_limited_quality_count,external_limited_non_de_count,evidence_strength_score,independent_non_de_sources_same_state,work_non_de_support_only,latest_source_states_de,latest_source_states_non_de,latest_source_states_matching_dominant,candidate_matches_dominant_state,non_de_state_source_concentration,new_t1_record_count,t1_new_records,t1_corrections,t1_status_updates,t1_reinforces_t0,t1_contradicts_t0,t1_resolves_uncertainty,change_in_evidence_strength,change_in_state_agreement
CAN-Z1CEVWXUT0,T1,1,DE,1,1,1,0,0,96,DE,0,1.0,0,0.7687313666723661,0.0,-0.7687313666723661,0,0,0,0,0,0,1,1,0,1,1,0,4,2,2,1,488,NJ,0,0.8161038961038961,1,0.2670999646496068,0.2673939003040246,0.00029393565441782066,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,479,DE,0,0.6642857142857143,1,0.278630415661525,0.3506843706158744,0.07205395495434935,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,49,DE,0,0.7988571428571428,0,1.2266122832165711,0.5534775323095104,-0.6731347509070608,0,0,0,1,1,0,1,1,0,2,1,1,2,1,1,1,146,NJ,0,1.0,0,0.17945905208296484,0.6703200460356393,0.49086099395267446,0,0,0,0,0,0,1,0,1,1,0,1,5,2,3,1,27,NJ,0,0.8632727272727273,0,0.3407053588655133,1.3331878395688346,0.9924824807033212,1,0,1,1,0,1,1,0,1,2,0,2,DE,11,10,1,21,0.5238095238095238,6,6,5,5,1,1.0,0.8333333333333334,1,1.0,0,0,0.8205813234384662,2,27,0.9286971372499306,3,1,0,0,1,NJ,1,1,1,2,1,3,2,1,0,0.9662763988224854,5,0,3,3,3,1,1.0,2,0,1,1,1,1,0,0.029108829884411214,0.0
CAN-SIB7ACY70G,T1,1,DE,1,1,1,0,0,117,DE,0,1.0,0,0.7257512561813818,0.0,-0.7257512561813818,0,0,0,0,0,0,1,1,0,1,1,0,4,2,2,1,162,PA,0,0.8823333333333333,1,0.4576469968363594,0.6495782110421405,0.19193121420578113,0,0,0,0,0,0,1,0,1,2,1,1,4,2,2,1,183,PA,0,0.893090909090909,1,0.4101166972431783,0.6756294250935652,0.2655127278503869,0,0,0,0,0,0,0,0,0,2,1,1,6,1,4,1,20,PA,1,0.9359999999999999,1,0.5656029132440696,1.9805955605827825,1.4149926473387129,1,0,1,2,0,2,2,0,2,3,1,2,2,1,1,1,47,DE,0,1.0,0,0.8791786819488183,0.07167477270865283,-0.8075039092401655,0,0,0,1,1,0,1,1,0,1,1,0,4,2,2,1,70,DE,0,0.7966190476190476,1,0.933888794480532,0.2973126687987052,-0.6365761256818268,0,0,0,1,1,0,1,1,0,1,1,0,PA,9,11,1,20,0.55,6,6,5,5,1,1.0,0.8333333333333334,1,1.0,0,1,0.9001987219130075,4,20,0.9466796511855877,0,0,1,3,0,UNKNOWN,0,1,1,2,1,3,2,1,0,0.9700527267489735,5,0,3,3,3,0,1.0,2,1,0,1,0,1,0,0.009046986453679073,0.0
CAN-PQXQQ41OZ5,T1,1,MD,0,1,0,1,1,88,MD,0,1.0,0,0.0,0.7857662753246225,0.7857662753246225,0,0,0,1,0,1,1,0,1,1,0,1,4,2,2,1,398,DE,0,0.7673333333333333,1,0.4378593841035696,0.0595554787390716,-0.37830390536449804,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,605,MD,0,0.7721428571428571,1,0.1458856157280469,0.1959465413157055,0.050060925587658595,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,1,31,DE,0,0.7236349206349205,2,1.2262018141946276,1.3418625701936162,0.11566075599898862,0,0,0,2,1,1,2,1,1,3,1,2,2,1,1,1,112,MD,0,1.0,0,0.10576079959230228,0.7357614607199059,0.6300006611276037,0,0,0,0,0,0,1,0,1,1,0,1,4,2,1,1,674,MD,1,0.6924615384615385,2,0.14619104781681005,0.15777657287408536,0.011585525057275309,0,0,0,0,0,0,0,0,0,0,0,0,DE,10,10,1,20,0.5,6,5,6,6,1,1.0,0.8333333333333334,1,1.0,0,1,0.7747409733124019,6,31,0.9185751983563217,2,2,0,0,1,DE,0,1,1,1,1,3,1,1,0,0.9641507916548275,6,0,2,4,2,0,1.0,2,2,0,0,1,1,0,0.023306527900852636,0.0
CAN-QCF4GZN8TD,T1,1,NJ,0,1,0,1,1,138,NJ,0,1.0,0,0.0,0.6851741826652171,0.6851741826652171,0,0,0,0,0,0,1,0,1,1,0,1,5,3,2,1,15,DE,0,0.8464,1,1.0744969081920377,0.20552602632078926,-0.8689708818712485,1,1,0,1,1,0,1,1,0,1,1,0,4,2,2,1,454,NJ,0,0.808,1,0.08602749620051747,0.4139618671710247,0.3279343709705072,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,666,DE,0,0.8475,1,0.16689624766302935,0.1896075070243569,0.022711259361327563,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,100,NJ,0,0.856,0,0.37295356046545525,0.7603529065620016,0.38739934609654636,0,0,0,0,0,0,1,0,1,2,1,1,5,3,2,1,47,DE,0,0.808,2,1.3107284152463212,0.23122411341487142,-1.0795043018314499,0,0,0,1,1,0,1,1,0,2,2,0,DE,11,10,1,21,0.5238095238095238,6,5,6,6,1,1.0,0.8333333333333334,1,1.0,0,0,0.8383809523809524,5,15,0.9597370959507373,2,1,0,1,1,NJ,1,1,1,4,1,3,2,1,0,0.9727947901496549,6,0,3,3,3,0,1.0,2,1,1,0,0,1,0,0.037435569086045284,0.0
CAN-TP15Z7VRP7,T1,1,NY,0,1,0,1,1,27,NY,0,1.0,0,0.0,0.9286971372499306,0.9286971372499306,1,0,1,1,0,1,1,0,1,1,0,1,5,2,3,1,6,NY,0,0.8210285714285714,1,1.037186552979598,1.0921165292600088,0.05492997628041074,1,0,1,2,1,1,2,1,1,2,1,1,5,3,2,1,24,DE,0,0.8544,1,1.1916235730699052,0.8056103410032126,-0.3860132320666926,1,1,0,2,1,1,2,1,1,2,1,1,4,2,2,1,155,DE,0,0.79,1,0.6646408382191719,0.4354248731246785,-0.22921596509449338,0,0,0,0,0,0,1,1,0,2,1,1,2,1,1,1,191,DE,0,1.0,0,0.5925691693705903,0.2729053800804651,-0.31966378929012523,0,0,0,0,0,0,0,0,0,1,1,0,4,2,2,1,347,DE,0,0.81,1,0.39422458379971786,0.4049005887340531,0.010676004934335237,0,0,0,0,0,0,0,0,0,1,1,0,NY,10,11,1,21,0.5238095238095238,6,5,6,6,1,1.0,0.8333333333333334,1,1.0,0,0,0.8465306122448979,4,6,0.9836960163172332,1,1,0,2,1,NY,1,1,1,2,1,3,2,1,0,0.977826163426619,6,0,4,2,2,1,1.0,2,0,0,2,1,1,0,0.0061327081800093275,0.0
CAN-IM8E9J8Y7H,T1,1,DE,1,1,1,0,0,119,DE,0,1.0,0,0.7217854122180232,0.0,-0.7217854122180232,0,0,0,0,0,0,1,1,0,1,1,0,5,2,3,1,51,PA,0,0.8719999999999999,0,0.13363462555974345,1.1158389164528926,0.9822042908931491,0,0,0,1,0,1,1,0,1,1,0,1,4,2,2,1,391,PA,0,0.8253846153846154,1,0.11374152543108666,0.398291678266795,0.28455015283570834,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,9,DE,0,0.9253333333333333,0,1.0777895208016133,0.5004045736114493,-0.577384947190164,1,1,0,1,1,0,1,1,0,2,1,1,2,1,1,1,166,DE,0,1.0,0,0.6345783473637261,0.07128310826129476,-0.5632952391024313,0,0,0,0,0,0,1,1,0,1,1,0,4,2,2,1,318,DE,0,0.9199999999999999,0,0.49050394106127104,0.23022494869671506,-0.260278992364556,0,0,0,0,0,0,0,0,0,1,1,0,DE,11,10,1,21,0.5238095238095238,6,6,5,5,1,1.0,0.8333333333333334,1,1.0,0,0,0.9032478632478632,1,9,0.9756439794722424,2,1,1,0,0,DE,0,1,1,3,1,3,1,1,1,0.9761352356891709,5,0,4,2,4,1,1.0,2,1,1,0,1,1,0,0.049100151221269095,0.0
CAN-IKOH5MXPHE,T1,1,DE,1,1,1,0,0,40,DE,0,1.0,0,0.8962023619688662,0.0,-0.8962023619688662,0,0,0,1,1,0,1,1,0,1,1,0,4,1,2,1,211,NJ,1,0.7913333333333333,1,0.11800995409112343,0.3788309920250593,0.2608210379339359,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,1,223,DE,0,0.7921611721611722,1,0.5931657780984345,0.42216606279887015,-0.17099971529956437,0,0,0,0,0,0,0,0,0,2,1,1,5,3,2,1,43,DE,0,0.749,1,1.499120038936144,0.46807511256673684,-1.0310449263694073,0,0,0,1,1,0,1,1,0,3,2,1,2,1,1,1,166,NJ,0,0.9733333333333334,0,0.063534997475373,0.6345783473637261,0.5710433498883531,0,0,0,0,0,0,1,0,1,1,0,1,5,2,3,1,46,NJ,0,0.8914285714285715,1,0.9127628567626611,0.9405528488287517,0.027789992066090563,0,0,0,1,0,1,1,0,1,2,1,1,DE,10,10,1,20,0.5,6,6,5,5,1,1.0,0.8333333333333334,1,1.0,0,1,0.8325136926565497,4,40,0.8962023619688662,2,0,1,1,1,DE,0,1,1,2,1,3,1,1,1,0.9594524960134619,5,0,3,3,3,1,1.0,2,1,0,1,1,1,0,-0.00522751558876855,0.0
CAN-NPLI344G66,T1,1,DE,1,1,1,0,0,32,DE,0,1.0,0,0.9160619982891085,0.0,-0.9160619982891085,0,0,0,1,1,0,1,1,0,1,1,0,4,2,2,1,186,MD,0,0.6136363636363636,1,0.16610627712116008,0.6809379249062723,0.5148316477851121,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,1,164,MD,0,0.8336363636363636,1,0.12945278740578647,0.8011149915169833,0.6716622041111968,0,0,0,0,0,0,1,0,1,1,0,1,5,2,3,1,12,MD,0,0.8277333333333333,1,0.0627651676612423,1.8392291688313434,1.7764640011701012,1,0,1,1,0,1,2,0,2,2,0,2,2,1,1,1,201,DE,0,0.9733333333333334,0,0.5765547745791634,0.10989617988638654,-0.4666585946927768,0,0,0,0,0,0,0,0,0,1,1,0,5,3,2,1,34,DE,0,0.9248,1,1.293696535630582,0.6666419465364825,-0.6270545890940996,0,0,0,1,1,0,1,1,0,3,2,1,DE,11,10,1,21,0.5238095238095238,6,6,5,5,1,1.0,0.8333333333333334,1,1.0,0,0,0.8332582972582973,4,12,0.9676578525183944,2,1,0,1,1,MD,1,1,1,3,1,3,2,1,0,0.9744581490288629,5,0,3,3,3,1,1.0,2,1,0,1,1,1,0,0.005491773267313205,0.0
CAN-ZOT5VL4MCH,T1,1,DE,1,1,1,0,0,41,DE,0,1.0,0,0.8937503734540804,0.0,-0.8937503734540804,0,0,0,1,1,0,1,1,0,1,1,0,4,2,2,1,308,NC,0,0.8984615384615384,1,0.05120000121828556,0.4782346667050977,0.4270346654868121,0,0,0,0,0,0,0,0,0,1,0,1,5,3,2,1,8,DE,0,0.6114930402930403,2,1.060692291751745,0.4316446556128123,-0.6290476361389327,1,1,0,1,1,0,1,1,0,1,1,0,4,2,2,1,707,NC,0,0.8984615384615384,1,0.1556294407898751,0.15446871911493656,-0.0011607216749385252,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,131,DE,0,1.0,0,0.6984413219659964,0.15777657287408536,-0.540664749091911,0,0,0,0,0,0,1,1,0,1,1,0,5,3,2,1,15,DE,0,0.9187692307692308,1,1.2328974882848962,0.18896154239037466,-1.0439359458945217,1,1,0,1,1,0,1,1,0,1,1,0,DE,12,9,1,21,0.5714285714285714,6,6,5,5,1,1.0,0.8333333333333334,1,1.0,0,0,0.8494763649049363,5,8,0.9783206416625366,0,1,0,3,0,UNKNOWN,0,1,1,3,1,3,2,1,0,0.9766973347491327,5,0,4,2,4,1,1.0,2,0,2,0,1,0,0,0.01254654309430514,0.0
CAN-4OF8Y9P3W7,T1,1,MD,0,1,0,1,1,68,MD,0,1.0,0,0.0,0.8300234132428609,0.8300234132428609,0,0,0,1,0,1,1,0,1,1,0,1,5,3,1,1,18,DE,1,0.8704000000000001,1,1.1981305110681657,0.09146665293575648,-1.1066638581324093,1,1,0,1,1,0,1,1,0,2,1,0,4,2,2,1,188,MD,0,0.91,1,0.4504225976975671,0.6534715337935141,0.20304893609594699,0,0,0,0,0,0,0,0,0,2,1,1,5,3,2,1,39,DE,0,0.9279999999999999,1,1.1452321244263592,0.8174390833445113,-0.3277930410818479,0,0,0,1,1,0,2,1,1,2,1,1,2,1,1,1,28,MD,0,0.9566666666666667,0,0.09071795328941251,0.9261562437967505,0.8354382905073381,1,0,1,1,0,1,1,0,1,1,0,1,4,2,2,1,277,MD,0,0.838,1,0.08197047031761855,0.7845991882280527,0.7026287179104342,0,0,0,0,0,0,0,0,0,1,0,1,DE,11,9,1,20,0.55,6,5,6,6,1,1.0,0.8333333333333334,1,1.0,0,1,0.8998730158730158,4,18,0.9518811746804333,2,1,0,1,1,DE,0,1,1,3,0,3,1,1,1,0.9711450466828909,6,0,2,4,2,0,1.0,2,0,1,1,1,0,0,0.0,0.0
